User_ID,Account_Age,Email_Verified,Phone_Verified,Total_Products_Ordered,Return_Attempts,Successful_Returns,Complaints_Raised,Complaints_Refuted,Frequent_Location,Total_Reviews_Written,Legitimacy_Score,Normalized_Legitimacy_Score,Password
U1,6,TRUE,FALSE,191,0,10,13,14,East Teresa,74,321,0.760504202,test
U2,5,FALSE,TRUE,42,0,17,2,10,East Brandonland,91,280,0.703081232,yjdiiufv
U3,1,TRUE,FALSE,92,7,10,9,12,Davidside,83,225,0.62605042,ldhcaqgk
U4,8,FALSE,FALSE,74,13,1,18,4,New Sara,56,-25,0.275910364,npncqhml
U5,6,TRUE,FALSE,148,3,17,5,3,West Heather,1,128,0.490196078,cfvgcjye
U6,3,FALSE,TRUE,193,2,17,0,13,Sextonshire,63,396,0.865546218,qcjnqwxw
U7,1,FALSE,TRUE,9,7,16,19,7,Murphyborough,28,-105,0.163865546,glbfszol
U8,3,FALSE,TRUE,109,16,0,1,7,Millerhaven,83,276,0.697478992,jijlqffo
U9,2,FALSE,TRUE,38,9,0,17,7,Roblesmouth,97,106,0.459383754,mrusnqlk
U10,3,TRUE,TRUE,41,13,10,18,16,West Richardtown,29,20,0.338935574,gkabfjnl
U11,8,FALSE,FALSE,37,5,11,8,4,New Michelle,62,70,0.408963585,nonemfzz
U12,2,TRUE,TRUE,23,18,18,1,8,Reynoldsmouth,51,133,0.49719888,varnxxqm
U13,2,TRUE,FALSE,112,1,9,19,17,Lake Danielleborough,62,162,0.537815126,icmteytz
U14,2,FALSE,FALSE,170,8,1,2,12,Kaitlynborough,5,182,0.565826331,vmhvqarz
U15,6,FALSE,FALSE,17,12,10,3,5,Brandyville,23,-10,0.296918768,zhcgpzuw
U16,2,FALSE,FALSE,198,2,9,11,11,North Derrick,49,217,0.614845938,mkbrygst
U17,9,FALSE,FALSE,143,0,12,7,14,East Joshuaburgh,5,147,0.516806723,qpkirgwq
U18,3,TRUE,FALSE,199,5,4,4,10,New Makaylatown,73,378,0.840336134,epbwxqfo
U19,3,FALSE,TRUE,66,16,8,2,7,Jasmineside,76,193,0.581232493,iblspdec
U20,1,TRUE,FALSE,100,2,4,11,12,Jamiemouth,55,194,0.582633053,bzckrath
U21,3,FALSE,FALSE,170,0,5,9,3,West Michael,32,155,0.528011204,uaouoswi
U22,5,TRUE,FALSE,21,19,16,11,11,Johnsonbury,89,77,0.418767507,jxbqtzqx
U23,6,FALSE,FALSE,16,10,1,13,18,New Dianefort,37,10,0.324929972,otglhjrd
U24,7,FALSE,TRUE,159,0,14,16,16,Kariton,20,155,0.528011204,ippvnbja
U25,7,TRUE,FALSE,27,2,6,10,17,New Daniel,46,146,0.515406162,llgesdwv
U26,6,TRUE,TRUE,36,12,15,16,9,West Kaylaport,8,-41,0.253501401,aqqnbemv
U27,7,TRUE,TRUE,174,8,2,13,11,Whitneyville,53,275,0.696078431,wrlqytwd
U28,3,TRUE,FALSE,93,9,16,5,17,Davidmouth,7,121,0.480392157,eaxtvfkx
U29,6,TRUE,TRUE,26,6,12,15,2,Woodwardtown,8,-40,0.254901961,bxeuofca
U30,1,TRUE,TRUE,12,3,2,15,8,Powellfurt,6,-3,0.306722689,vpqxajgg
U31,6,TRUE,FALSE,5,16,1,9,5,Lake Jamesview,1,-78,0.201680672,choobqvb
U32,3,TRUE,TRUE,79,7,8,4,6,Port Nicole,54,232,0.635854342,avmgdqcq
U33,6,FALSE,FALSE,138,12,10,19,1,Clintonbury,32,-51,0.239495798,eiqmbhcm
U34,2,FALSE,TRUE,157,14,13,11,11,Benjaminbury,26,112,0.467787115,cwrbknue
U35,7,FALSE,FALSE,181,12,15,16,11,Leeside,57,114,0.470588235,gypfmwrb
U36,6,TRUE,FALSE,74,12,14,17,5,South Michael,13,-71,0.211484594,oyojchyx
U37,4,TRUE,FALSE,34,12,16,3,11,North Christopher,60,145,0.514005602,vluyzqzd
U38,4,TRUE,TRUE,181,5,4,1,14,Toddchester,88,492,1,offghzwr
U39,3,TRUE,TRUE,2,19,5,13,15,West Andrew,18,-16,0.288515406,ihmbzxkj
U40,9,TRUE,TRUE,61,13,19,11,12,New Jill,47,120,0.478991597,bnnrpkzx
U41,9,TRUE,TRUE,84,6,10,1,8,Gordonburgh,23,228,0.630252101,oemydhsv
U42,2,TRUE,TRUE,24,6,13,6,9,Sandratown,77,211,0.606442577,jlerbytx
U43,8,TRUE,TRUE,88,8,14,17,8,Port Royshire,8,22,0.341736695,prxjbnag
U44,8,TRUE,FALSE,85,15,16,16,7,South Amber,45,9,0.323529412,eiggdcph
U45,3,TRUE,FALSE,100,7,4,9,8,Christineland,86,235,0.640056022,noakeodc
U46,9,FALSE,TRUE,199,4,9,11,10,Whitefort,81,331,0.774509804,ugapdqnr
U47,4,TRUE,TRUE,92,4,3,11,18,Kennedyborough,13,180,0.56302521,gekojppn
U48,8,FALSE,FALSE,51,15,5,8,0,New Jasonberg,79,60,0.394957983,qxfekoud
U49,8,TRUE,TRUE,71,10,14,11,4,Kaufmanfurt,14,47,0.3767507,udbpkwbo
U50,2,FALSE,FALSE,74,5,18,7,0,South Kimberly,59,65,0.401960784,viupzmge
U51,1,FALSE,FALSE,158,16,2,8,2,South Pamelaberg,55,116,0.473389356,vbnivvsv
U52,9,FALSE,TRUE,87,7,5,17,17,West Rita,3,31,0.354341737,ovkuiitr
U53,4,FALSE,FALSE,98,19,10,8,16,Katherinemouth,15,21,0.340336134,rueknxyf
U54,9,FALSE,FALSE,160,18,11,16,6,Adamsside,51,38,0.364145658,vtnbuvdx
U55,7,FALSE,TRUE,143,10,6,14,4,Wilkinston,97,219,0.617647059,ajbtmbqr
U56,6,TRUE,FALSE,184,13,2,5,14,Schroederview,58,313,0.74929972,ycgulagf
U57,7,FALSE,TRUE,124,12,0,11,7,North Johnstad,15,83,0.427170868,nueshunf
U58,4,FALSE,FALSE,31,10,10,5,18,New Mark,26,61,0.396358543,ckeblovr
U59,7,FALSE,FALSE,53,17,5,16,13,Stanleyfort,3,-117,0.147058824,pqnkrpaq
U60,5,TRUE,FALSE,8,3,19,19,1,Port Steven,7,-156,0.092436975,yvzaqjia
U61,1,TRUE,TRUE,69,15,15,7,10,Gutierrezville,58,162,0.537815126,pdpplvjf
U62,3,TRUE,TRUE,105,14,12,8,2,Keithview,25,97,0.446778711,raabmzxm
U63,2,FALSE,FALSE,54,17,4,11,17,Fisherstad,87,114,0.470588235,wejasfcy
U64,4,TRUE,FALSE,70,9,10,15,2,Monicaside,9,-59,0.228291317,tynxirfq
U65,7,TRUE,FALSE,144,13,4,19,1,Lake Haley,30,10,0.324929972,rxzlcdun
U66,5,FALSE,FALSE,115,19,5,17,13,New Lucasmouth,61,37,0.362745098,uvawqscd
U67,8,TRUE,FALSE,45,3,2,3,13,Reyesfort,16,159,0.533613445,bmrltnff
U68,1,FALSE,TRUE,67,15,10,17,8,Olsonfurt,12,-82,0.196078431,mzwojigo
U69,5,TRUE,TRUE,12,18,19,4,9,Barrymouth,73,145,0.514005602,vgwrlfnd
U70,1,FALSE,TRUE,148,3,8,16,6,Diazmouth,42,123,0.483193277,mmyfsxdc
U71,1,TRUE,FALSE,6,18,4,14,12,Ariasberg,49,-22,0.280112045,dplwiuoe
U72,7,TRUE,FALSE,89,11,18,4,8,Sanchezhaven,18,98,0.448179272,naxenyvm
U73,3,FALSE,FALSE,109,7,12,17,14,Port Josephbury,77,110,0.464985994,uciplaco
U74,3,TRUE,FALSE,176,3,1,19,12,South Seanton,82,249,0.659663866,qmlkgxsm
U75,1,TRUE,TRUE,145,9,0,14,13,Scottberg,15,157,0.530812325,vfuoviyv
U76,3,TRUE,TRUE,85,6,18,10,6,West Kristychester,64,183,0.567226891,esuxllfv
U77,8,FALSE,TRUE,130,18,6,4,11,Port Karenton,13,135,0.5,mmlfkbsg
U78,6,FALSE,FALSE,37,14,9,2,7,New Patricia,35,46,0.37535014,akuocdsm
U79,8,TRUE,TRUE,17,14,9,8,2,Moralesmouth,25,25,0.345938375,epyxbuye
U80,4,TRUE,FALSE,127,16,8,12,19,Lake Darrellland,86,236,0.641456583,epfstlym
U81,8,TRUE,TRUE,52,18,17,18,19,Reedburgh,40,39,0.365546218,evhyqsap
U82,9,FALSE,FALSE,106,5,7,10,9,Paulfort,25,80,0.422969188,motkogar
U83,5,TRUE,TRUE,55,16,7,18,10,Lake James,12,-35,0.261904762,tlyupwsw
U84,4,TRUE,TRUE,110,9,12,19,0,East William,0,-41,0.253501401,wfhvklyy
U85,4,FALSE,FALSE,43,6,9,1,11,Patrickland,78,204,0.596638655,rkyghaon
U86,1,TRUE,FALSE,180,0,14,10,1,Meyersberg,30,169,0.547619048,vqgpzmdb
U87,1,FALSE,FALSE,126,12,7,16,3,Ortegatown,76,61,0.396358543,uagyvsto
U88,3,FALSE,FALSE,195,14,13,16,13,Denisefort,13,36,0.361344538,qzwbutym
U89,6,TRUE,FALSE,33,9,19,12,12,East Maryton,99,150,0.521008403,nunqjanw
U90,6,FALSE,TRUE,124,11,19,11,3,Morganville,96,190,0.577030812,cagbvjfi
U91,3,TRUE,TRUE,104,6,19,10,1,Lake Gerald,58,163,0.539215686,soexhkqq
U92,2,FALSE,TRUE,70,19,0,14,17,West Jonathanside,65,104,0.456582633,rjzjeahm
U93,6,TRUE,TRUE,131,12,15,4,7,Ericmouth,96,340,0.787114846,zomkvhqt
U94,6,TRUE,TRUE,15,12,0,18,9,New Nicholas,66,64,0.400560224,uwclwcwq
U95,9,FALSE,TRUE,89,5,7,6,4,East Bridget,3,84,0.428571429,aoyqifkg
U96,5,FALSE,FALSE,170,17,16,6,5,Amandaville,28,84,0.428571429,otsqecyc
U97,4,FALSE,TRUE,109,3,13,17,0,Thomasberg,87,130,0.492997199,bqsmyazl
U98,8,TRUE,FALSE,101,11,8,8,8,Hollymouth,17,90,0.43697479,blvkarla
U99,5,TRUE,TRUE,199,6,19,0,12,Lake Jennaburgh,9,319,0.757703081,olmlrxlz
U100,7,FALSE,FALSE,159,13,17,1,3,Boydton,37,153,0.525210084,vvydbyrd
U101,3,FALSE,FALSE,70,4,13,19,9,Robertston,91,67,0.404761905,hgazgecx
U102,7,TRUE,FALSE,195,18,10,8,7,Kendrachester,93,290,0.717086835,uvugzkmi
U103,1,FALSE,TRUE,105,6,8,0,11,North Angel,67,300,0.731092437,ogcqbqax
U104,6,TRUE,FALSE,168,19,19,14,0,Perezfurt,60,77,0.418767507,gtvvytrd
U105,8,TRUE,TRUE,33,8,2,11,19,South Emily,33,156,0.529411765,kipmysys
U106,8,FALSE,TRUE,79,18,14,13,10,Andreaberg,11,-31,0.267507003,dgwasztn
U107,7,TRUE,TRUE,151,16,18,19,15,Edwardsstad,96,226,0.62745098,xnvzmhua
U108,9,TRUE,FALSE,190,5,9,6,2,Theresafurt,47,259,0.673669468,jaeqqiwe
U109,1,FALSE,TRUE,124,11,14,3,13,Lake Anita,30,188,0.574229692,jyhwnyhf
U110,3,TRUE,TRUE,49,19,0,16,9,New Williamton,39,23,0.343137255,kaynwpql
U111,4,FALSE,FALSE,21,11,14,3,18,Karenberg,40,86,0.431372549,uucnzogi
U112,9,FALSE,FALSE,67,15,15,1,16,Alyssachester,84,218,0.616246499,jatfvtjj
U113,3,FALSE,FALSE,9,11,4,0,17,Darlenetown,61,159,0.533613445,agdfnbju
U114,4,FALSE,FALSE,48,2,6,14,2,Mitchellport,87,78,0.420168067,ewwxberm
U115,4,FALSE,TRUE,162,16,14,19,16,Lopezberg,11,24,0.344537815,mqulsnqu
U116,8,FALSE,TRUE,150,16,4,18,19,Charlesside,65,173,0.553221289,vcgvcqop
U117,5,FALSE,TRUE,72,17,2,3,13,North Ellen,17,112,0.467787115,pqusrfgu
U118,3,TRUE,TRUE,145,18,1,9,0,East Susan,34,137,0.50280112,mgbxpewk
U119,7,TRUE,TRUE,175,13,1,3,17,Lauratown,13,303,0.735294118,lyayrhzc
U120,1,TRUE,FALSE,170,17,13,14,11,New Thomas,35,96,0.445378151,fqilimwf
U121,7,TRUE,FALSE,65,2,9,4,3,South Johnny,18,112,0.467787115,dngjxern
U122,5,FALSE,TRUE,13,15,17,1,18,Cochranfurt,93,230,0.633053221,wqelamlm
U123,6,FALSE,TRUE,183,5,12,13,15,Gonzaleztown,92,325,0.766106443,cyydqmeb
U124,4,TRUE,FALSE,30,8,15,18,7,Fitzgeraldtown,14,-99,0.172268908,jybznoxe
U125,8,TRUE,TRUE,180,17,1,19,0,Kellerfurt,66,151,0.522408964,mdubgexe
U126,7,FALSE,FALSE,131,8,10,13,5,Kimberlytown,52,84,0.428571429,emxywpqr
U127,1,TRUE,TRUE,69,14,18,9,5,North Melissafurt,97,194,0.582633053,mnbwbwdg
U128,1,FALSE,FALSE,170,6,3,13,6,Madelinestad,73,182,0.565826331,ecfsklfg
U129,7,TRUE,FALSE,60,4,13,9,8,Bryanfurt,64,156,0.529411765,buogadmx
U130,5,FALSE,TRUE,140,18,14,2,1,North Jamesport,75,217,0.614845938,wbwuhdxp
U131,5,FALSE,TRUE,150,10,0,15,10,Lake Ann,58,176,0.557422969,bhxticyl
U132,1,FALSE,FALSE,173,19,15,2,11,North Nathanielfurt,4,93,0.441176471,nxcpzjud
U133,7,FALSE,FALSE,183,15,17,9,7,Andrewborough,97,227,0.628851541,absztbcu
U134,5,TRUE,TRUE,111,18,16,8,6,Jonesville,78,205,0.598039216,hvrhxwur
U135,3,TRUE,FALSE,121,3,0,14,9,West Beckyborough,87,241,0.648459384,ofdhmuqp
U136,5,FALSE,TRUE,95,7,0,18,4,Donaldberg,98,156,0.529411765,geumwqns
U137,4,TRUE,FALSE,57,6,9,6,15,Emilyburgh,11,104,0.456582633,valeiamm
U138,8,TRUE,FALSE,186,11,0,10,1,Ochoatown,1,104,0.456582633,hrntjslq
U139,6,FALSE,TRUE,104,13,9,14,6,North Judithmouth,48,69,0.407563025,uzbsogom
U140,8,FALSE,FALSE,6,11,10,0,15,New Mary,97,216,0.613445378,lrqfbsrq
U141,7,FALSE,TRUE,162,1,15,6,7,New Tylerborough,5,176,0.557422969,nrtnuekd
U142,3,TRUE,FALSE,185,6,18,17,3,Jamesland,70,160,0.535014006,xicffmyp
U143,1,FALSE,TRUE,195,0,10,7,14,Jenniferchester,93,413,0.889355742,gblzvuyi
U144,8,FALSE,FALSE,47,3,6,3,7,New Jeffrey,3,47,0.3767507,xdubvwok
U145,7,FALSE,TRUE,145,14,15,1,6,Beckerview,26,181,0.56442577,vypjahno
U146,6,TRUE,TRUE,21,13,14,19,6,Moralesburgh,35,-50,0.240896359,byqcjraw
U147,8,TRUE,FALSE,77,1,1,2,4,Tuckerbury,74,284,0.708683473,ppmgfecf
